ƒлина   оличество  —лово   Ќќƒ  ѕоложение (рассто€ние)
     4      3        садв      10  1370 1540 (170) 3910 (2370) 
     4      3        адви      10  1371 1541 (170) 3911 (2370) 
     4      4        рает       5  1596 1621 (25) 2711 (1090) 4371 (1660) 
     4      3        еа н       5  1671 1946 (275) 4461 (2515) 
     4      4        а нн       5  1672 1937 (265) 2322 (385) 5312 (2990) 
     4      3        ?  -       5  1781 4921 (3140) 5016 (95) 
     4      4        €а н       5  1796 2321 (525) 5311 (2990) 5341 (30) 
     4      3         лви       5  1835 2780 (945) 4930 (2150) 
     4      4        а ƒн       5  1912 2127 (215) 2717 (590) 4377 (1660) 
     4      4         ƒни       5  1913 2128 (215) 2718 (590) 4378 (1660) 
     4      4        ƒнио       5  1914 2129 (215) 2719 (590) 4379 (1660) 
     4      4        ниод       5  1915 2130 (215) 2720 (590) 4380 (1660) 
     4      4        иодс       5  1916 2131 (215) 2721 (590) 4381 (1660) 
     4      3        т,         4  1920 3180 (1260) 5272 (2092) 
     4      3        ќ ни      15  2271 4431 (2160) 4866 (435) 
     4      3         ывн       5  2554 2989 (435) 4559 (1570) 
     4      3        ывно       5  2555 2990 (435) 4560 (1570) 
     4      3        внот       5  2556 2991 (435) 4561 (1570) 
     4      3        .  -       5  2761 4096 (1335) 4496 (400) 
     4      3         ла        5  3170 3285 (115) 5255 (1970) 
     4      3        ла н       5  3171 3286 (115) 5256 (1970) 
     4      3         ноа       3  3794 4187 (393) 4607 (420) 
     5      3       € нме      15  10 1225 (1215) 2065 (840) 
     5      8       д л’о       5  120 1590 (1470) 1615 (25) 2705 (1090) 3225 (520) 4365 (1140) 4825 (460) 4945 (120) 
     5      3         мна      15  525 1005 (480) 5070 (4065) 
     5      3        и€лс       5  790 1790 (1000) 5205 (3415) 
     5      3       дƒиав       5  795 1800 (1005) 3110 (1310) 
     5      3       ижниз      15  835 4060 (3225) 5065 (1005) 
     5      3        урку       5  1214 1839 (625) 2784 (945) 
     5      3       уркуб       5  1215 1840 (625) 2785 (945) 
     5      3       садви      10  1370 1540 (170) 3910 (2370) 
     5      4        €а н       5  1795 2320 (525) 5310 (2990) 5340 (30) 
     5      3        лви        5  1835 2780 (945) 4930 (2150) 
     5      4       а ƒни       5  1912 2127 (215) 2717 (590) 4377 (1660) 
     5      4        ƒнио       5  1913 2128 (215) 2718 (590) 4378 (1660) 
     5      4       ƒниод       5  1914 2129 (215) 2719 (590) 4379 (1660) 
     5      4       ниодс       5  1915 2130 (215) 2720 (590) 4380 (1660) 
     5      3        ывно       5  2554 2989 (435) 4559 (1570) 
     5      3       ывнот       5  2555 2990 (435) 4560 (1570) 
     5      3        ла н       5  3170 3285 (115) 5255 (1970) 
     6      3       уркуб       5  1214 1839 (625) 2784 (945) 
     6      4      а ƒнио       5  1912 2127 (215) 2717 (590) 4377 (1660) 
     6      4       ƒниод       5  1913 2128 (215) 2718 (590) 4378 (1660) 
     6      4      ƒниодс       5  1914 2129 (215) 2719 (590) 4379 (1660) 
     6      3       ывнот       5  2554 2989 (435) 4559 (1570) 
     7      4     а ƒниод       5  1912 2127 (215) 2717 (590) 4377 (1660) 
     7      4      ƒниодс       5  1913 2128 (215) 2718 (590) 4378 (1660) 
     8      4    а ƒниодс       5  1912 2127 (215) 2717 (590) 4377 (1660) 
